# Plantilla TAB-separada para run_pipeline_from_template.sh
# Columnas:
# ANALYSIS_NAME	OUTDIR_BASE	Q_TX	Q_PR	Q_ME	Q_CL	PANEL_CHOICE	CLINICAL_INCLUDE	CLINICAL_EXCLUDE	MODEL_SOURCE	DIAG_TARGET
#
# Diseño del barrido:
# - Q_TX = Q_ME en: 0.80, 0.85, 0.90, 0.95, 0.97 y 0.99.
# - Q_CL y Q_PR recorren 0.20-0.70 en pasos de 0.05 y en sentidos opuestos.
# - El orden alterna los extremos hasta llegar al punto balanceado Q_CL=Q_PR=0.45.
# - Total: 66 escenarios.
#
# Importante:
# - No uses comillas.
# - No metas TABs dentro de nombres de variables.
# - MODEL_SOURCE=NEW para corrida fresca.
# - DIAG_TARGET=BOTH genera diagnostico_bayes_features y diagnostico_panel_final.
ANALYSIS_NAME	OUTDIR_BASE	Q_TX	Q_PR	Q_ME	Q_CL	PANEL_CHOICE	CLINICAL_INCLUDE	CLINICAL_EXCLUDE	MODEL_SOURCE	DIAG_TARGET
P1_TODAS_qtx80_qpr40_qme80_qcl50	./escenarios	0.80	0.40	0.80	0.50	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx80_qpr45_qme80_qcl45	./escenarios	0.80	0.45	0.80	0.45	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx85_qpr70_qme85_qcl20	./escenarios	0.85	0.70	0.85	0.20	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx85_qpr20_qme85_qcl70	./escenarios	0.85	0.20	0.85	0.70	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx85_qpr65_qme85_qcl25	./escenarios	0.85	0.65	0.85	0.25	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx85_qpr25_qme85_qcl65	./escenarios	0.85	0.25	0.85	0.65	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx85_qpr60_qme85_qcl30	./escenarios	0.85	0.60	0.85	0.30	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx85_qpr30_qme85_qcl60	./escenarios	0.85	0.30	0.85	0.60	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx85_qpr55_qme85_qcl35	./escenarios	0.85	0.55	0.85	0.35	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx85_qpr35_qme85_qcl55	./escenarios	0.85	0.35	0.85	0.55	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx85_qpr50_qme85_qcl40	./escenarios	0.85	0.50	0.85	0.40	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx85_qpr40_qme85_qcl50	./escenarios	0.85	0.40	0.85	0.50	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx85_qpr45_qme85_qcl45	./escenarios	0.85	0.45	0.85	0.45	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx90_qpr70_qme90_qcl20	./escenarios	0.90	0.70	0.90	0.20	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx90_qpr20_qme90_qcl70	./escenarios	0.90	0.20	0.90	0.70	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx90_qpr65_qme90_qcl25	./escenarios	0.90	0.65	0.90	0.25	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx90_qpr25_qme90_qcl65	./escenarios	0.90	0.25	0.90	0.65	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx90_qpr60_qme90_qcl30	./escenarios	0.90	0.60	0.90	0.30	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx90_qpr30_qme90_qcl60	./escenarios	0.90	0.30	0.90	0.60	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx90_qpr55_qme90_qcl35	./escenarios	0.90	0.55	0.90	0.35	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx90_qpr35_qme90_qcl55	./escenarios	0.90	0.35	0.90	0.55	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx90_qpr50_qme90_qcl40	./escenarios	0.90	0.50	0.90	0.40	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx90_qpr40_qme90_qcl50	./escenarios	0.90	0.40	0.90	0.50	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx90_qpr45_qme90_qcl45	./escenarios	0.90	0.45	0.90	0.45	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx95_qpr70_qme95_qcl20	./escenarios	0.95	0.70	0.95	0.20	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx95_qpr20_qme95_qcl70	./escenarios	0.95	0.20	0.95	0.70	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx95_qpr65_qme95_qcl25	./escenarios	0.95	0.65	0.95	0.25	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx95_qpr25_qme95_qcl65	./escenarios	0.95	0.25	0.95	0.65	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx95_qpr60_qme95_qcl30	./escenarios	0.95	0.60	0.95	0.30	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
